top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge,source_file,
스포츠/레저,러닝/사이클,자전거,유아 자전거,https://image.sivillage.com/upload/C00001/goods/org/999/230307004398999.png?RS=450&SP=1,FIRSTBIKE,퍼스트바이크 리미티드 블루,,,,5.0,1.0,,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/12_04_%EC%98%A4%EB%A0%8C%EC%A7%80_%EB%A0%88%EB%93%9C.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/06_01_%EC%98%90%EB%A1%9C%EC%9A%B0.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","블루,오렌지 레드,옐로우,블랙",,유아 자전거.csv,
스포츠/레저,러닝/사이클,자전거,유아 자전거,https://image.sivillage.com/upload/C00001/goods/org/787/230306004398787.png?RS=450&SP=1,FIRSTBIKE,퍼스트바이크 팻 에디션 라이트블루,,,,,,,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_080018_210114011352.png,https://image.sivillage.com/upload/C00001/goods/color/color_110022_210114010650.png","블루,핑크,오렌지,그린",,유아 자전거.csv,
스포츠/레저,러닝/사이클,자전거,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/879/240411013411879.jpg?RS=450&SP=1,DEUTER,도이터 바이크 백 1.1 + 0.3 (Bike Bag 1.1+0.3),Bag,"24,000",20%,,,,,,,기타.csv,
스포츠/레저,러닝/사이클,자전거,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/956/240411013412956.jpg?RS=450&SP=1,DEUTER,도이터 트라이앵글 프론트 백 1.5 (Triangle Front Bag 1.5),(Triangle,"25,600",20%,,,,,,,기타.csv,
스포츠/레저,러닝/사이클,자전거,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/262/240514016858262.jpg?RS=450&SP=1,DEUTER,도이터 폰백 0.7 (Phone Bag 0.7),Bag,"43,200",20%,,,,,,세일,기타.csv,
스포츠/레저,러닝/사이클,자전거,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/618/240514016857618.jpg?RS=450&SP=1,DEUTER,도이터 에너지 백 0.5 Energy Bag,Energy,"20,800",20%,5.0,1.0,,,,세일,기타.csv,
스포츠/레저,러닝/사이클,자전거,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/512/240411013415512.jpg?RS=450&SP=1,DEUTER,도이터 바이크 백 0.8 (Bike Bag 0.8),Bag,"19,200",20%,,,,,,,기타.csv,
스포츠/레저,러닝/사이클,자전거,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/455/240514016854455.jpg?RS=450&SP=1,DEUTER,도이터 바이크 백 0.5 (Bike Bag 0.5),Bag,"18,400",20%,,,,,,세일,기타.csv,
스포츠/레저,러닝/사이클,자전거,기타,https://image.sivillage.com/upload/C00001/s3/goods/org/041/240514016850041.jpg?RS=450&SP=1,DEUTER,도이터 바이크 백 0.3 ( BIKE BAG 0.3 L),BAG,"17,600",20%,,,,,,세일,기타.csv,
스포츠/레저,러닝/사이클,자전거,어린이 자전거,https://image.sivillage.com/upload/C00001/goods/org/999/230307004398999.png?RS=450&SP=1,FIRSTBIKE,퍼스트바이크 리미티드 블루,,,,5.0,1.0,,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/12_04_%EC%98%A4%EB%A0%8C%EC%A7%80_%EB%A0%88%EB%93%9C.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/06_01_%EC%98%90%EB%A1%9C%EC%9A%B0.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","블루,오렌지 레드,옐로우,블랙",,어린이 자전거.csv,
