productName,price,detailContent,colorId,productCode,topCategoryName,middleCategoryName,bottomCategoryName,subCategoryName,imageUrl,brandName,name,volume,newProduct,discountRate
퍼스트바이크 리미티드 블루,258400,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000025,20,PTZBCZZRR1QL4J,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/871/210504001214871.jpg?RS=450&SP=1,DIPTYQUE,오 드 뚜왈렛 오 데 썽 100ml,100ml,TRUE,0.1
퍼스트바이크 팻 에디션 라이트블루,407400,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000088,7,PTOMSN6B6175UM,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/368/230907006189368.jpg?RS=450&SP=1,DIPTYQUE,오 드 뚜왈렛 오 데 썽 50ml,50ml,N/A,0.1
도이터 바이크 백 1.1 + 0.3 (Bike Bag 1.1+0.3),576100,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000307,1,PT230JRQQLNMFI,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/857/230907006210857.jpg?RS=450&SP=1,DIPTYQUE,오 드 뚜왈렛 도손 50ml,50ml,N/A,0.1
도이터 트라이앵글 프론트 백 1.5 (Triangle Front Bag 1.5),121300,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000310,11,PT5I63L77UNOOC,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/157/230907006191157.jpg?RS=450&SP=1,DIPTYQUE,오 드 뚜왈렛 필로시코스 50ml,50ml,N/A,0.1
도이터 폰백 0.7 (Phone Bag 0.7),229000,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000375,15,PTJX9833WL8LCF,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/440/230823006039440.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 뚜왈렛 롬브르 단 로 100ml,100ml,N/A,0.1
도이터 에너지 백 0.5 Energy Bag,550400,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000509,18,PT06PCW1YCHFV1,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/859/210504001214859.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 뚜왈렛 베티베리오 100ml,100ml,N/A,0.1
도이터 바이크 백 0.8 (Bike Bag 0.8),449000,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000535,21,PTRT3XVIYKUJMD,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/809/230907006174809.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 뚜왈렛 올렌느 100ml,100ml,N/A,0.1
도이터 바이크 백 0.5 (Bike Bag 0.5),650000,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000689,12,PTND9M13E2HRN7,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/s3/goods/org/329/240829029779329.jpg?RS=450&SP=1&QT=20,DIPTYQUE,운 자르뎅 수르 라 라군 오 드 뚜왈렛 100ml,100ml,N/A,0.1
도이터 바이크 백 0.3 ( BIKE BAG 0.3 L),72800,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000000790,13,PT5DUONXUUOJ9G,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/664/230307004401664.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 뚜왈렛 로 파피에 50ml,50ml,N/A,0.1
퍼스트바이크 리미티드 블루,336500,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000001026,2,PTLZY5AQ7CJHVG,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/629/230307004401629.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 뚜왈렛 로 파피에 100ml,100ml,N/A,0.1
퍼스트바이크 팻 에디션 라이트블루,364100,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000001176,18,PTX3VCMTVQZV4Y,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/884/210504001214884.jpg?RS=450&SP=1&QT=20,DIPTYQUE,오 드 뚜왈렛 필로시코스 100ml,100ml,N/A,0.1
VALERIO TOP BLACK,193900,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000001195,9,PT3GGC8A7PCB12,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/s3/goods/org/229/240813027494229.jpg?RS=450&SP=1&QT=20,HERMES BEAUTY,오 드 메르베이 오 드 뚜왈렛 100ml,100ml,TRUE,0.1
[한혜진 착용] ADDY TOP BLUE DUSK,441000,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000001205,6,PTBVOQXA4HLCEK,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/s3/goods/org/491/240816027893491.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA BEAUTY,라이트 블루 썸머 바이브 뿌르 옴므 오 드 뚜왈렛 125ml,125ml,N/A,0.1
CLOVER TOP (3 COLORS),353900,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000001397,2,PTJE8YSRC8QXFM,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/s3/goods/org/501/240422014505501.jpg?RS=450&SP=1&QT=20,HERMES BEAUTY,H24 오 드 뚜왈렛 100mL 2024 세트,100mL,N/A,N/A
여성 서피 그래픽 슬리브리스 S4ML1SL42YEL,840900,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000001436,1,PTPBF9M9O00VL0,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/952/230412004696952.jpg?RS=450&SP=1&QT=20,HERMES BEAUTY,운 자르뎅 아 시테르 오드뚜왈렛 100ml,100ml,N/A,N/A
[ARENA x MARITHE] 반팔티셔츠 S4MC1RT95WHT,169800,https://m-goods.sivillage.com/goods/getGoodDescCont.siv?goods_no=01P0000001447,4,PTA0G4Q3UF34ND,뷰티,향수,오 드 뚜왈렛,N/A,https://image.sivillage.com/upload/C00001/goods/org/641/190415000276641.jpg?RS=450&SP=1&QT=20,HERMES BEAUTY,켈리 깔레쉬 오드퍼퓸 100ml,100ml,N/A,0.15
